Finnis Street, Bethnal Green@51.524583#-0.058631
Jubilee Gardens, South Bank@51.504636#-0.116542
Kennington Lane Rail Bridge, Vauxhall@51.486343#-0.122492
Union Grove, Wandsworth Road@51.472993#-0.133972
Charlbert Street, St. John's Wood@51.5343#-0.168074
Austin Road, Battersea Park@51.474376#-0.155442
Aldersgate Street, Barbican@51.520841#-0.09734
Jubilee Plaza, Canary Wharf@51.50357#-0.020068
Marloes Road, Kensington@51.496481#-0.192404
Gunmakers Lane, Old Ford@51.535179#-0.03338
Chelsea Green, Chelsea@51.490664#-0.166485
Lodge Road, St. John's Wood@51.528341#-0.170134
Fournier Street, Whitechapel@51.519362#-0.074431
Neville Gill Close, Wandsworth@51.454752#-0.195197
Storey's Gate, Westminster@51.500703#-0.129698
Gloucester Street, Pimlico@51.490962#-0.139625
Kennington Oval, Oval@51.483145#-0.113134
St. Mary & St. Michael Church, Stepney@51.514225#-0.08066
Abingdon Green, Westminster@51.497622#-0.125978
Frampton Street, Paddington@51.523353#-0.175116
Graham Street, Angel@51.532661#-0.099981
Sugden Road, Clapham@51.465123#-0.157788
Montpelier Street, Knightsbridge@51.498884#-0.165471
Pembridge Villas, Notting Hill@51.511084#-0.197524
Westfield Library Corner, Shepherd's Bush@51.506093#-0.224223
Long Lane , Bermondsey@51.499075#-0.085666
Ashley Crescent, Battersea@51.467185#-0.152248
Hop Exchange, The Borough@51.504627#-0.091773
Newby Place, Poplar@51.508896#-0.012413
Bramham Gardens, Earl's Court@51.490163#-0.190393
Eastbourne Mews, Paddington@51.516417#-0.179135
Woodstock Grove, Shepherd's Bush@51.504038#-0.2174
De Vere Gardens, Kensington@51.501737#-0.18498
Grant Road East, Clapham Junction@51.464894#-0.173029
Disraeli Road, Putney@51.46161#-0.216145
Northumberland Avenue, Strand@51.506767#-0.123702
Eccleston Place, Victoria@51.49395#-0.147624
Berry Street, Clerkenwell@51.522853#-0.099994
Holden Street, Battersea@51.46879#-0.15823
Coomer Place, West Kensington@51.48357#-0.202038
Portland Place, Marylebone@51.520715#-0.145211
Bedford Way, Bloomsbury@51.523673#-0.128377
Greenberry Street, St.John's Wood@51.53256#-0.16862
Kennington Cross, Kennington@51.48894#-0.111435
Danvers Street, West Chelsea@51.482567#-0.172078
Star Road, West Kensington@51.487244#-0.205279
Tysoe Street, Clerkenwell@51.526443#-0.109256
Olympia Way, Olympia@51.4961#-0.208158
Napier Avenue, Millwall@51.487679#-0.021582
Orbel Street, Battersea@51.474535#-0.17021
Finlay Street, Fulham@51.476885#-0.215895
Smugglers Way, Wandsworth@51.461083#-0.191722
Queen Street 1, Bank@51.511553#-0.09294
Vauxhall Street, Vauxhall@51.486965#-0.116625
Elysium Place, Fulham@51.471079#-0.207842
Macclesfield Rd, St Lukes@51.529423#-0.097122
Denyer Street, Knightsbridge@51.493583#-0.165101
Red Lion Street, Holborn@51.51824#-0.11655
Southwark Station 1, Southwark@51.504043#-0.105312
Royal College Street, Camden Town@51.536264#-0.133952
Hampstead Road, Euston@51.525542#-0.138231
Rampayne Street, Pimlico@51.489975#-0.132845
Doddington Grove, Kennington@51.486929#-0.102996
West Smithfield Rotunda, Farringdon@51.518218#-0.100791
Park Street, Bankside@51.505974#-0.092754
Wandsworth Town Station, Wandsworth@51.460864#-0.187427
